name	nickname	categorization	alias	PrimeBloomPeriod	description	distributions	png
虎眼万年青	海葱、鸟乳花、葫芦兰、玻璃球花、兰奇	多年生草本花卉	植物界 被子植物门 双子叶植物纲 天门冬目 百合科 万年青属	夏季	虎眼万年青，别名海葱、鸟乳花，多年生草本植物。它每生长一枚叶片，鳞茎包皮上就会长出几个小子球，形似虎眼，故而得名虎眼万年青。又因其球状鳞茎似葫芦样，所以又俗称为葫芦兰。	虎眼万年青原产南非，现世界各国多有栽培。华北常见盆栽，供观赏。	52786eec4af34_140_120.jpg
果香兰		兰科花卉	植物界 被子植物门 单子叶植物纲 微子目 兰科 兰属	夏季	果香兰是附生植物；假鳞茎近卵球形。叶通常5-6枚，带形，坚纸质，长22-50厘米，宽2-3厘米。花葶自假鳞茎基部穿鞘而出，近直立或外弯；花序通常在50朵以上；花苞片小；花较密集，直径3-4厘米，有水果香味；萼片与花瓣红褐色，唇瓣白色而在侧裂片与中裂片上有紫红色斑，褶片黄色；花瓣狭椭圆形，长1.4-1.6厘米，萼片近等宽；唇瓣近卵形。蒴果近长圆形，长3-4厘米，宽1.3-2厘米。花期7-8月。果香兰产海拔700-1100米。分布于中国、缅甸和越南。此花有栽培。	果香兰产海拔700-1100米。分布于中国贵州西南部和云南西部，缅甸和越南也有分布。此种植物民间有栽培，国内一些植物园也偶见栽培，据云南原植物来自云南西部和贵州西南部。	5a4e124c53587_140_120.jpg
香花指甲兰		根茎花卉	植物界 被子植物门 单子叶植物纲 微子目 兰科 指甲兰属	春季	香花指甲兰（学名：Aerides odorata Lour.）：茎粗壮。叶厚革质，宽带状，长15-20厘米，宽2.5-4.6厘米，先端钝并且不等侧2裂，基部具关节和鞘。总状花序下垂，近等长或长于叶，密生许多花；花大，开展，直径约3厘米，芳香，白色带粉红色；花瓣近椭圆形，比中萼片稍小，先端钝，基部收狭；唇瓣着生于蕊柱足末端，3裂。花期5月。香花指甲兰生于山地林中树干上。产中国广东、云南西部（盈江）。广布于热带喜马拉雅至东南亚。此花有栽培，具有较高的园艺价值。	香花指甲兰生于山地林中树干上。香花指甲兰产中国广东、云南西部（盈江）。广布于热带喜马拉雅至东南亚。香花指甲兰的模式标本采自中国广东。	579a1ffe88a39_140_120.jpg
果子蔓	擎天凤梨、西洋凤梨、红杯凤梨	多年生草本花卉	植物界 被子植物门 单子叶植物纲 凤梨目 凤梨科 果子蔓属	春季	果子蔓又名擎天凤梨、红杯凤梨、西洋凤梨，为多年生草本。叶长带状，浅绿色，背面微红，薄而光亮。穗状花序高出叶丛，花茎、苞片和基部的数枚叶片呈鲜红色。果子蔓叶片翠绿，光亮，深红色管状苞片，色彩艳丽持久，是目前世界花卉市场十分流行的盆栽花卉之一。果子蔓为花叶兼用之室内盆栽花卉，还可作切花用。既可观叶又可观花，适宜在明亮的室内窗边长年欣赏。	果子蔓原产热带美洲。我国果子蔓的栽培是从20世纪80年代初开始，由云南省从荷兰和比利时引种，进行小批量生产。	56626bfc4247f_140_120.jpg
竹柏	罗汉柴、大果竹柏、山杉、竹叶柏	乔木花卉	植物界 裸子植物门 松柏纲 罗汉松目 罗汉松科 罗汉松属	春季	竹柏别名：罗汉柴、大果竹柏、山杉、竹叶柏。松柏目、罗汉松科、罗汉松属植物，因叶脉平行似竹叶而得名，材质似杉木，故有山杉之称。竹柏是有名的景观树与行道树种，为常绿乔木，生长缓慢，高可达20米，是常见的行道树种之一。喜温暖环境，不耐湿亦不耐旱，稍耐寒。原产于台湾、中国大陆东南方、日本、琉球等地。台湾之原生分布于北部中低海拔文山地区及南部恒春半岛之北大武山区。竹柏，为古老的裸子植物，起源约1亿5500万年前的中生代白垩纪，被人们称为“活化石”，是珍贵稀有濒危树种。竹柏叶形奇异，终年苍翠；树干修直，树态优美，叶茂荫浓，抗病虫害强，为优美的常绿观赏树木，可在公园、庭园、住宅小区、街道等地段内成片栽植，也可与其它常绿落叶树种混合栽种。	竹柏产于浙江、福建、江西、湖南、广东、广西、四川；其垂直分布自海岸以上丘陵地区，上达海拔1600米之高山地带，往往与常绿阔叶树组成森林。	546d904f19b40_140_120.jpg
厚皮香	珠木树、猪血柴、水红树、野瑞香	乔木花卉	植物界 被子植物门 双子叶植物纲 杜鹃花目 山茶科 厚皮香属	春季夏季	厚皮香，学名：Ternstroemia gymnanthera （Wight et Arn.）Beddome，是山茶科常绿小乔木，主要分布在江西、浙江、湖南、福建等省区。厚皮香是优良绿化树种，树皮灰绿色，具隆起皱纹，小枝粗壮，带棕色，近轮生，多次分权形成圆锥形树冠；叶革质、矩圆状倒卵形，表面暗绿色，有光泽，常数片簇生枝端，叶柄红色。适宜配置门厅两侧，道路角隅，草坪边缘。在林缘，树丛下成片种植，尤其能达到丰富色彩，增加层次的效果。厚皮香对二氧化碳、氯气、氟化氢等抗性强，并能吸收有毒气体，适应于街坊，厂矿绿化和营造环境林。	厚皮香广泛分布于安徽南部的休宁、浙江、江西、福建、湖北西南部（巴东、利川）、湖南南部和西北部（新宁、衡山、南岳、莽山、永顺、沅陵）、广东、广西北部（龙胜、罗城、大苗山、临桂、环江）和东部（象州、金秀、上林）、云南、贵州东北部（松桃、施秉、遵义）和西北部的毕节以及四川南部（南川、马边）等省区；多生于海拔200-1400米（云南可分布于2000-2800米）的山地林中、林缘路边或近山顶疏林中。分布于越南、老挝、泰国、柬埔寨、尼泊尔、不丹及印度。	56cdbe5cc7cdb_140_120.jpg
高山杜鹃		灌木花卉	植物界 木贼门 木兰纲 杜鹃花目 杜鹃花科 杜鹃花属	5-7月	高山杜鹃（学名：Rhododendron lapponicum (L.) Wahl.）：常绿小灌木，高可达1米，分枝繁密，伏地或挺直。叶常散生于枝条顶部，革质，上面浅灰至暗灰绿色，下面淡黄褐色至红褐色，叶柄被鳞片。花序顶生，伞形，有花数朵；花芽鳞脱落；花萼小，带红色或紫色，花冠宽漏斗状，淡紫蔷薇色至紫色，罕为白色，花丝基部被绵毛；蒴果长圆状卵形，5-7月开花，9-10月结果。生于高山、苔原、多岩石地方或沼泽地带。产中国东北大兴安岭、长白山及内蒙古。加拿大、美国阿拉斯加也有。该物种花朵可植于庭园花坛中、亦可作切花瓶插，有较高的园艺价值。	生于高山、苔原、多岩石地方或沼泽地带。产中国四川峨眉山、云南永善地区、东北大兴安岭、长白山及内蒙古。环北极间断分布于格陵兰、斯堪的纳维亚半岛、朝鲜北部、西伯利亚东部及萨哈林岛（库页岛）、加拿大、美国阿拉斯加。	5c56fedad64f6_140_120.jpg
桃之卵		多肉多浆植物	植物界    景天科 风车草属	春季秋季冬季	"桃之卵，应该是国内自己取的名字。根据多肉42图鉴里描述的。具有争议的是桃之卵和醉美人，还有月美人Pachyphytum oviferum。景天科风车草属，是一种令人惊叹的多肉植物、也称多浆植物。桃之卵≠醉美人，醉美人，拉丁学名：Graptopetalum amethystinum。	中文的多肉植物大多数是从日文音译过来的，后来买韩国的肉多了，名字又多了起来，但不管怎样，拉丁学名，只可能有一个的。桃之卵没找到相对应的拉丁学名。桃之卵不是醉美人。	日本和韩国包括国际上没有桃之卵这个品种。"		http://pic1.huashichang.com/2018/0905/12/5b8f60224fd2b_140_120.jpg
金丝桃	土连翘、圣约翰草、弟切草、金丝海棠、五心花、木本黄开口、金丝蝴蝶、小狗木、狗胡花、金丝莲	岩生花卉	植物界 被子植物门 双子叶植物纲 侧膜胎座目 藤黄科 金丝桃属	春季夏季	金丝桃又叫土连翘，为藤黄科金丝桃属植物，半常绿小木，为半灌木：地上每生长季末枯萎，地下为多年生。小枝纤细且多分枝，叶纸质、无柄、对生、长椭圆形，花期6-7月，常见3-7朵集合成聚伞花序着生在枝顶，此花不但花色金黄，而且其呈束状纤细的雄蕊花丝也灿若金丝，惹人喜爱。是人们很乐于栽培的花木之一。	金丝桃分布于河北、陕西、山东、江苏、安徽、江西、福建、台湾、河南、湖北、湖南、广东、广西、四川、贵州等地。金丝桃在日本也有引种。	5900934d35a72_140_120.jpg
拐枣	万寿果、鸡爪连、俅江枳椇、金钩梨、拐枣儿、臭杞子、鸡爪子、龙爪、弯捞捞、蜜爪爪	乔木花卉	植物界 被子植物门 双子叶植物纲 鼠李目 鼠李科 枳椇属	5月～7月	拐枣，别名：万寿果、俅江枳椇、鸡爪连、金钩梨、拐枣儿、臭杞子、鸡爪子、龙爪、弯捞捞、蜜爪爪等，客家话叫桔杻，拉丁文名Hovenia dulcis.鼠李科 、枳椇属落叶乔木，高达10米多。嫩枝、幼叶背面、叶柄和花序轴初有短柔毛，后脱落。叶片椭圆状卵形、宽卵形或心状卵形。果柄含多量葡萄糖和苹果酸钾，经霜后甜，可生食或酿酒，俗称“拐角”；木材硬度适中，纹理美，供建筑及制家具和美术工艺品等的用材。分布河南、陕西、甘肃陇南、江西、安徽、浙江、广东、福建、湖北、湖南、广西、四川、贵州、云南等省。果实形态似万字符，故称其树为万寿果树。果实熟透可生吃，果肉多浆，无果核，种子裸露在果肉之外，味浆甜略有甘涩，亦可做汤，汤味独特醇香。	产甘肃、陕西、河南、安徽、江苏、浙江、江西、福建、广东、广西、湖南、湖北、四川、云南、贵州。印度、尼泊尔、锡金、不丹和缅甸北部也有分布。 ?拐枣分布很广。在中国黄河流域和长江流域各地，都可以找到它的踪迹。日本、朝鲜、俄罗斯也有生长。	5b93a8186702b_140_120.jpg
